ticker,E_pos_mean,E_neg_mean,E_neu_mean,E_pos_std,E_neg_std,E_sentence_count,E_pos_neg_ratio,E_pillar_score,S_pos_mean,S_neg_mean,S_neu_mean,S_pos_std,S_neg_std,S_sentence_count,S_pos_neg_ratio,S_pillar_score,G_pos_mean,G_neg_mean,G_neu_mean,G_pos_std,G_neg_std,G_sentence_count,G_pos_neg_ratio,G_pillar_score,kw_carbon_emissions_freq,kw_carbon_emissions_present,kw_renewable_energy_freq,kw_renewable_energy_present,kw_climate_risk_freq,kw_climate_risk_present,kw_waste_water_freq,kw_waste_water_present,kw_diversity_freq,kw_diversity_present,kw_employee_welfare_freq,kw_employee_welfare_present,kw_human_rights_freq,kw_human_rights_present,kw_community_freq,kw_community_present,kw_board_governance_freq,kw_board_governance_present,kw_executive_pay_freq,kw_executive_pay_present,kw_ethics_compliance_freq,kw_ethics_compliance_present,kw_transparency_freq,kw_transparency_present,kw_regulatory_penalties_freq,kw_regulatory_penalties_present,kw_controversy_freq,kw_controversy_present,doc_length,num_sections,business_length,business_pct,risk_factors_length,risk_factors_pct,mda_length,mda_pct,E_coverage_pct,S_coverage_pct,G_coverage_pct,has_sustainability_mention,has_emissions_numbers,count_emissions_numbers,has_dollar_fines,count_dollar_fines,has_employee_numbers,count_employee_numbers,has_percent_renewable,count_percent_renewable,has_women_leadership,count_women_leadership,has_board_independence,count_board_independence
ACHC,0.06300367694348097,0.2103625123732184,0.7266338160424902,0.09400922821258531,0.24574366716802895,57.0,0.0,53.53,0.3208557790797204,0.1512592703057453,0.5278849549964071,0.3540055810132897,0.2652935903683701,100,2.461538272189364,66.4,0.12398410270456224,0.28002841864712535,0.5959874882735312,0.18697701089714938,0.3319017524074497,100,0.35999998560000057,51.14,0.0,0,0.0,0,0.0,0,0.4326462498841126,1,0.5253561605735654,1,9.580024104576779,1,0.0,0,0.09270991068945271,1,0.2472264285052072,1,0.1236132142526036,1,1.236132142526036,1,0.7416792855156217,1,1.993263079823233,1,0.8652924997682252,1,64718,3,9112,0.1407954510337155,18361,0.28370777836150685,37245,0.5754967706047777,0.033730955839179205,0.247489106585494,0.08099755863901852,0,0,0,0,0,1,2,0,0,0,0,0,0
ACHV,0.3917330391705036,0.03188398163765669,0.5763829737901688,0.4227695245593669,0.01949373321542213,5.0,2000000.0,76.64,0.25429042460396883,0.07533635398373008,0.670373218562454,0.32536931893381726,0.17206816287621046,100,6.749998312500422,69.0,0.1054188076686114,0.0790798473637551,0.8155013470910489,0.2037349703406604,0.15727563378265585,100,1.3333331111111482,63.55,0.022375369193591694,1,0.0,0,0.0,0,0.0,0,1.9578448044392733,1,2.2487246039559654,1,0.0,0,0.0,0,0.4586950684686298,1,0.4251320146782422,1,0.290879799516692,1,5.750469882753065,1,0.9062024523404636,1,0.145439899758346,1,89384,3,14462,0.16179629463886155,65680,0.7348071243175512,9242,0.10339658104358722,0.0018683433276649064,0.11706793162087174,0.09653853038575136,0,0,0,0,0,1,1,0,0,0,0,0,0
ACIW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15481994566680105,0.22656598329302613,0.618614067013065,0.23667181069630544,0.3451036037345541,54,0.4615384260355057,55.69,0.10254423548467458,0.12358311775606126,0.7738726408220827,0.155932628730841,0.24804236461997975,40,0.599999880000024,60.56,0.0,0,0.0,0,0.0,0,0.0,0,0.35560296928479357,1,3.378228208205538,1,0.0,0,0.0,0,0.044450371160599196,1,0.2667022269635952,1,0.4445037116059919,1,0.7112059385695871,1,1.5557629906209718,1,1.4668622482997733,1,22497,3,5347,0.23767613459572387,7956,0.3536471529537272,9194,0.408676712450549,0.0,0.10645863892963506,0.08823398675378939,0,0,0,0,0,1,4,0,0,0,0,0,0
ACLS,0.27640078781793515,0.13174870839963357,0.5918504973252614,0.33933693322467284,0.2823022623247309,15.0,1.9999990000005,66.11,0.31247554192404176,0.1820006731114435,0.5055237908593633,0.33816258915701475,0.30634778048293243,44,1.6249997968750256,64.11,0.09407569618806952,0.07788724365777203,0.8280370689573742,0.18225333398835117,0.16699401905758213,21,0.9999990000010001,63.23,0.07307270734380708,1,0.0,0,0.0,0,0.14614541468761416,1,0.6576543660942638,1,3.5805626598465476,1,0.0,0,0.0,0,0.07307270734380708,1,0.43843624406284254,1,0.14614541468761416,1,0.2922908293752283,1,0.7307270734380709,1,0.07307270734380708,1,13685,3,4851,0.3544757033248082,4314,0.31523565948118376,4520,0.33028863719400803,0.04873949579831933,0.1350383631713555,0.06430398246255024,1,0,0,0,0,1,1,0,0,0,0,0,0
ACMR,0.2832687350984832,0.12891191575379873,0.5878193347122181,0.29975782467380635,0.26036518101559,88.0,2.299999770000023,66.54,0.2160358104016632,0.33796901944093405,0.44599517188966276,0.3015989785180193,0.3954084752608564,100,0.5757575583103771,50.59,0.0883544030878693,0.3246361487917602,0.5870094569027424,0.1763244131963512,0.36060910829626536,100,0.11764705536332191,46.99,0.20828180528254728,1,0.0,0,0.13017612830159206,1,0.13017612830159206,1,0.2994050950936617,1,2.1479061169762685,1,0.0,0,0.0,0,0.09112328981111444,1,0.07810567698095523,1,0.5597573516968458,1,1.1976203803746468,1,1.4840078626381494,1,0.10414090264127364,1,76819,3,5720,0.07446074538851065,25964,0.3379892995222536,45135,0.5875499550892357,0.045418451164425465,0.08530441687603327,0.09116234264960492,1,0,0,0,0,0,0,0,0,0,0,0,0
ACN,0.35958267158518237,0.13526274434601268,0.5051545780152082,0.3147696641088838,0.25976934514629546,12.0,1.9999990000005,68.79,0.23955281071364878,0.37533813293091955,0.38510905412957075,0.31275872152902806,0.3928505951428173,100,0.560975596073766,48.99,0.10139195623038255,0.34081090100959915,0.5577971360686681,0.1867658368187805,0.36919748839050737,92,0.21212120569329682,46.4,0.3302373581011352,1,0.1238390092879257,1,0.0412796697626419,1,0.1238390092879257,1,1.5686274509803921,1,4.169246646026831,1,0.0412796697626419,1,0.0825593395252838,1,0.0412796697626419,1,0.4953560371517028,1,0.8255933952528379,1,1.4035087719298245,1,1.9814241486068112,1,0.8255933952528379,1,24225,3,5372,0.2217543859649123,13008,0.5369659442724458,5845,0.2412796697626419,0.019195046439628483,0.1900515995872033,0.13238390092879257,1,0,0,0,0,1,1,0,0,0,0,0,0
ACNB,0.08073800663668208,0.11643288404930656,0.8028291176731993,0.13703576330862394,0.25605877012830386,82.0,0.24999996875000394,60.26,0.16386422253213823,0.11790565792471171,0.7182301205582917,0.2807267922609005,0.23689355217958077,100,1.9999997500000315,63.07,0.0962931000534445,0.13259022154845299,0.7711166857369244,0.17182994850144404,0.2349930961085412,100,0.599999940000006,59.75,0.0,0,0.47887998422512995,1,0.0,0,0.0,0,2.338061099452105,1,1.3662164255834588,1,0.0,0,0.7183199763376948,1,0.33803293004126816,1,0.45071057338835757,1,0.3802870462964267,1,3.6972351723263706,1,1.4225552472570036,1,0.18310117043902027,1,141998,3,70989,0.4999295764729081,70990,0.49993661882561724,19,0.00013380470147466867,0.01587346300652122,0.08532514542458344,0.09400132396230933,1,0,0,0,0,0,0,0,0,0,0,0,0
ACOR,0.04444766087600818,0.25834979281689113,0.6972025363491132,0.043211181010878785,0.34763551819539,13.0,0.0,49.76,0.19123128517530857,0.19655948813538998,0.6122092238999903,0.26568051384451474,0.31889821283117586,100,0.7499999625000018,58.92,0.059926888934269396,0.3478630070776208,0.5922101028839645,0.09639856986346028,0.3536328930266667,97,0.05882352768166096,44.49,0.0,0,0.0,0,0.0,0,0.015477719822315775,1,0.23216579733473663,1,3.730130477178102,1,0.0,0,0.03095543964463155,1,0.15477719822315777,1,0.1238217585785262,1,0.6345865127149468,1,0.7893637109381045,1,0.6964973920042099,1,0.32503211626863127,1,64609,3,21773,0.3369963936912814,26840,0.4154220000309554,15996,0.24758160627776316,0.00876038941943073,0.181600086675231,0.05753068457954774,1,0,0,0,0,1,1,0,0,0,0,0,0
ACRS,0.028484266251325607,0.1288318019360304,0.8426839232444763,0.005063802248468645,0.13076705565107538,5.0,0.0,57.62,0.1283001886960119,0.21891330825164915,0.6527865073084831,0.1872131405694971,0.2987154569241247,100,0.28571427210884415,55.26,0.08396332150071183,0.26734908132559876,0.6486875997348265,0.13311378094806306,0.3339326502513542,88,0.17391303591682453,50.56,0.0,0,0.0,0,0.0,0,0.06294190462203386,1,0.797264125212429,1,5.077313639510732,1,0.0,0,0.08392253949604515,1,0.08392253949604515,1,0.12588380924406772,1,0.9231479344564967,1,1.0280511088265532,1,1.7413926945429368,1,1.4266831714327675,1,47663,3,12560,0.2635167740175818,26053,0.5466084803726161,9050,0.18987474560980216,0.003440824119337851,0.1939030275056123,0.08876906615194176,0,0,0,0,0,0,0,0,0,0,0,0,0
ACRX,0.028564060106873512,0.1269654482603073,0.8444704413414001,0.0,0.0,1.0,0.0,57.75,0.26846941716969014,0.15962233008351176,0.5719082538969815,0.330119299800132,0.2663263643337966,100,1.7692306331361052,64.02,0.11777401922904339,0.3398187163324316,0.5424072680822045,0.19588066965096565,0.36957781103412735,97,0.19999999428571447,47.03,0.0,0,0.0,0,0.0,0,0.0,0,0.5134742731683134,1,4.957682637487164,1,0.0,0,0.12394206593717907,1,0.12394206593717907,1,0.08853004709798505,1,0.8144764333014625,1,0.6728283579446864,1,1.487304791246149,1,0.9561245086582386,1,56478,3,16577,0.29351251814865964,30906,0.5472219271220652,8995,0.15926555472927512,0.0005311802825879103,0.2060448316158504,0.07420588547753107,0,0,0,0,0,1,1,0,0,0,0,0,0
