ticker,lsa_00,lsa_01,lsa_02,lsa_03,lsa_04,lsa_05,lsa_06,lsa_07,lsa_08,lsa_09,lsa_10,lsa_11,lsa_12,lsa_13,lsa_14,lsa_15,lsa_16,lsa_17,lsa_18,lsa_19,lsa_20,lsa_21,lsa_22,lsa_23,lsa_24,lsa_25,lsa_26,lsa_27,lsa_28,lsa_29,lsa_30,lsa_31,lsa_32,lsa_33,lsa_34,lsa_35,lsa_36,lsa_37,lsa_38,lsa_39,lsa_40,lsa_41,lsa_42,lsa_43,lsa_44,lsa_45,lsa_46,lsa_47,lsa_48,lsa_49
A,0.8804023555272044,0.032965161060473085,-0.11966087393768651,0.05776311382157148,-0.04212729784220284,-0.05461073824175826,-0.0859157423789457,0.061024960799334435,0.02330975646285123,-0.05414207613387022,-0.009023933514922113,0.07651594717691934,-0.015248508541628474,0.011638434077454636,-0.009179994323295106,-0.019940637541675372,0.007033063480869618,0.07170677539568462,0.012075087978451299,-0.036244266881939914,0.00359221618269401,-0.0169015863334492,-0.07697885233269251,-0.04160227223555314,-0.08251455824225463,-0.033337297720450805,0.06713756250891012,-0.047412427025113085,0.06022321284763746,0.03810610929850735,-0.07095217505941542,0.015698712827059792,0.006371444398778017,-0.021748424441632247,-0.006024504236693316,0.09631842474444112,0.0022150868034957623,-0.03150696645482487,-0.0010618344901005404,-0.027325116645308012,-0.05006617411612085,0.002496840564561708,-0.06202100080411358,0.03503087554740624,0.044781255564225575,-0.015240739728405147,-0.010959736505421942,0.017967516985505246,0.027388380796098254,0.017813584615410955
AADI,0.8301876024235862,0.5105933275972327,0.008504977109269337,0.010881032348671743,-0.00031469178409198164,0.006659209863849269,0.008712434493454964,0.011496920340702063,-0.005776924763536437,0.01675692802756111,-0.00029306518245159546,-0.01969446682276631,0.013248595384976952,-0.010019477927889134,-0.019990833847469594,0.019219643307981933,0.015144917978897237,-0.026831973271371913,0.030824567407829136,-0.00618406078331564,-0.02434603192041587,0.0058712382766518785,0.001256894387731536,0.0025917370989099035,0.030628726371396284,-0.002153173901860076,-0.019620350368400208,0.000691276184490418,-0.010375142137861587,0.010813773139157762,0.013738830481247027,0.01438478102715965,-0.024888985946908936,-0.008142673927142748,-0.00021229931840649761,0.01629078624110321,-0.005116983016191361,0.0018067751127447936,-0.012044495295982428,-0.02102026648403613,-0.01869580004912185,0.0078007125698723095,0.009829040818899175,-0.005443726590042305,0.007158670832099526,0.006089410310842433,0.006118524926109545,-0.006325433273743015,-0.013509590604268455,-0.003140645780196079
AAL,0.8574888820309853,-0.05079580048326612,0.08245157715984168,-0.01868173472599343,0.02278838588528447,0.019643285297626385,0.20753810682680357,0.026550334628702325,-0.04702966978759978,0.06660322133707101,-0.10159639832264278,-0.023874458427550368,-0.009827888727792285,0.08485730672141525,0.06209444039141329,-0.03219684100098786,0.12179531525556916,-0.0993689869734809,0.062225289780684104,0.08679544783089704,0.10541300594361304,-0.03712537822578578,-0.04263970054867132,-0.03480195892010905,-0.022946061618380708,-0.04971399831311752,0.028301291979466413,0.002508087041377884,0.023328899406953065,-0.028963607224278595,-0.05401271058643522,-0.033008096635920636,0.013274093496988592,-0.07650548386130923,0.015081562069260807,-0.021597577931279206,-0.023328078208297614,0.019596817016668377,0.03679082823242277,0.05294314722018044,-0.017514214855684322,-0.021644401933301468,-0.03232505435430737,0.04241398354586736,-0.05551045486756814,0.03193166512314613,0.0018821509296872332,-0.014976720472725476,0.049072696117979896,0.030838925372687034
AAME,0.7490043020625934,-0.0887553398733005,0.20788982210153287,0.05442070134209184,-0.0048436535389829415,-0.05045131662518333,-0.09998866059963157,-0.09718403657575242,0.09844080414228755,-0.19552923367059932,0.0018562544074601681,-0.06399758790879043,-0.16167662134136354,-0.06759501345484417,0.22875578507408034,0.17408038822624539,-0.09144423311492914,-0.0074335002781444285,-0.0599612193417298,-0.035462403997762994,0.0173250047700689,0.0035730361566680643,-0.04594905574436598,0.08071170963924236,0.07481906048899636,-0.03790167832965612,0.06600256954521815,0.045049141157107654,-0.009494752131225434,-0.04621787698719756,0.006122257547035078,0.0008717164346004214,0.06105602423528598,-0.015794595816066962,-0.02407482054136945,-0.04182643288016456,0.03079189338872522,0.06341251827326318,0.08395144327834447,-0.027438175856471982,-0.03534630843535125,0.06792913178833175,-0.0033560475771526443,-0.015262951083213638,0.03504574423453896,0.04728887313111501,0.048717157723581726,-0.04167848114472866,0.050633821595696626,-0.011633974834386595
AAOI,0.880903483395366,-0.05562618591162999,-0.12668185292835765,-0.0703832083509556,0.13117844979513177,-0.10709473327060877,0.009361500119996249,-0.04877889714427587,0.08428538453930762,0.05554679976665838,-0.01735315535747572,-0.008412122745936425,-0.05673056593228751,-0.04789878352015789,0.012357809263118986,-0.025504087162963714,-0.013250893087209137,0.025348003694911036,0.013276082594902825,0.016207478168912787,-0.04961692103545457,0.0751170023020348,-0.04099733657214038,0.008915631288687538,-0.0034664516855783794,-0.02479104160591221,0.010282081010178076,0.04894460789619089,0.012725079109352154,-0.036101194891670546,-0.027076468605552354,0.008557917243528446,0.011571633790738953,0.01978427311108041,-0.0019858774573304093,0.04638495876124852,0.019828047204330883,0.04150003024905067,0.056785414144972866,-0.03392262731810485,0.008939614591312222,0.03235158301315529,-0.011113492909740313,0.06999949188005451,-0.04450949341056503,-0.018535843351538215,-0.01456822054471432,-0.003588132343279669,-0.04012121815555981,-0.019884826486464908
AAON,0.8278286806022475,-0.11075135442491485,-0.10361909431995807,0.11916576619359652,0.09252995698456586,-0.029600871888186785,-0.007481598996087671,-0.1295139569279657,0.06105246203463276,-0.029542567370815,-0.0196379685211779,-0.08046780612994088,-0.02309788295966766,-0.03153928086560369,0.017517878169330824,0.009894235010787959,0.03922883739675842,0.020317985853375995,-0.11738975303799538,0.01062511637555417,-0.017252102716386084,-0.0981390044768013,-0.05571412346887854,-0.06822956182226406,-0.0222382749465779,0.01375999434314167,-0.04120235565521837,0.016816877487737584,-0.09315953844197816,-0.008876465438747505,-0.03322208036556638,0.013886711695942338,0.017900013115368534,0.04223094270430971,-0.01593280726474813,0.02025839329469146,0.04750380395746981,-0.003275559031142135,0.012744529485810473,-0.03914116477660772,0.08563732363839234,0.0023153033110182453,0.012120207831689005,-0.0322484812821027,0.09366410922170393,0.022192566162330906,0.04026854348505736,-0.017336735213023233,0.061057310161455394,-0.03232587779167963
AAP,0.83250631956631,-0.1460462502131387,-0.09558120971528805,0.04697352663109088,0.021511096143787604,0.20874172886411824,0.09537897810311019,-0.03692679671220419,0.06911011426285736,0.070216457409393,0.003331735939262557,-0.05225880772967289,-0.04600863301028809,-0.0948823293663969,-0.09111511320909811,0.01118459401969692,-0.022842341717485018,-0.11146797799203219,0.014390309971720087,0.03593748584599614,0.025599931900297454,0.040337102530762614,0.031297334083105956,0.024401766527360685,-0.022419252677919284,0.10850411422802576,-0.009664302369803084,-0.04493033474824003,-0.05153617303284147,-0.020314940166029246,0.00048318895715867985,0.023040891664427632,0.008736229237651126,-0.07811125655630814,0.021761340437191336,-0.012894856324246548,-0.00952914756311086,0.018984888173000005,0.0005698734370394971,0.016464249756050642,0.013568647965493084,-0.018390723370187972,-0.0378871251960633,-0.05868513397573521,-0.01256292377283263,0.035365173318585304,-0.011015965034210814,-0.023209039684688834,-0.0033504123206741926,0.0456509608496098
AAPL,0.8018900605594268,-0.12227592046543931,-0.21196943044897643,-0.0920626693840635,-0.10179332647333827,0.028053939852438887,-0.01673226816254618,-0.10648949857228832,0.05700194940901141,0.08691776159312474,0.05156683451164297,-0.027153753172997435,0.018285904889097464,0.045921483851204765,0.0995680467825517,-0.04745275046384429,-0.06804869869065121,0.003081831816856766,0.055712625446679924,0.06813093258224921,0.012722200711656261,0.021545726194695056,0.11891597702829969,0.05612938678812899,-0.021389791989923853,-0.08008891953701894,-0.012067594884187322,0.08940783315260917,0.02068703049326488,-0.02011951913814204,-0.02529713266234171,0.08350695458208397,0.029598418761102103,-0.03244867919205162,0.0408164796407049,0.12479076014523267,-0.030402721048046397,0.03368618040003981,0.028927260384686862,-0.06233001023139273,0.09066240991069531,0.018961896259656778,-0.04366922207577316,-0.049212141764655375,0.041056114073325684,-0.02577538855927291,-0.018627072738915347,-0.03622201523502904,0.000717256189651492,0.003044640855046659
AATC,0.8360104408628781,-0.047655175577490175,-0.12579293113009246,-0.09534869794382277,0.06187706015203825,-0.08628611183846842,0.0014996822644125715,-0.1377545516936683,0.017862623944376592,0.06716883739574869,0.04788207384852918,-0.043818705212528675,-0.0347039725228137,-0.03619174090922677,0.022899924626948287,0.010403137097177356,-0.04215009023341527,-0.018451768479121326,0.005787664842806881,-0.03058645227817454,0.07864704719082692,0.029811555663648615,-0.01009043961950913,-0.0037299274829136588,0.031887153218820706,0.08861356298809318,-0.07901585261856195,0.022746052693456725,-0.023834468356889116,0.06370155988656295,-0.018915841225161125,-0.017175911271855724,-0.0439461816587981,-0.10084916842354484,0.03495956170714765,0.03166528810327028,0.09370280206993947,-0.07896963732674528,-0.004127809423949925,0.00311694826219219,-0.05480817709308987,2.312656482470542e-05,0.030710944418302775,0.013552344310150533,-0.0366020965172508,0.06258879483008083,0.08020792005984397,-0.02658591777779678,0.026702034822159316,0.0028790605353901633
AAWW,0.8346851984063753,-0.11521248069342813,0.06747662290900032,0.08282104666754166,0.12235877909224534,0.003274160911146414,0.08893455884407596,-0.03833545758011415,-0.09951646896158066,-0.06013173513896042,-0.004652396855807381,-0.044708427822614916,-0.01081248288245789,0.04243383132945706,0.03846939104436019,-0.02705616536833995,0.1048193585180884,-0.05008534868559665,0.0725696990517578,0.10702035843827185,0.18563981633495955,0.022809767172322207,-0.01173038598826114,-0.0406906251441595,0.08867292093249132,-0.02506486447460017,-0.006181289333037654,0.03085249564032811,0.04850894525108607,-0.001894233818984212,-0.05446334734610444,-0.0010791517062324184,0.03246244580185696,0.025033010953493702,-0.07158519025730765,0.005028745228302845,0.03626997785677152,0.023958731597905902,-0.03835932522205621,-0.0015069697862619795,-0.01036665401831515,-0.06259212365809647,0.03546792703315348,0.014371606844870365,-0.02648303461615461,0.03608832176866107,-0.047744780218145384,-0.0005537450875552291,-0.008448790629240113,0.022939505657603387
