Model,Target,Test R²,Test MAE,Test RMSE,5-CV R²,5-CV Std
Ridge,total_score,-0.10399262478039262,164.47678503370958,206.81655828026524,0.06288817392615567,0.0716762701751238
Lasso,total_score,0.08169401092164097,153.6500169421513,188.6235563588059,0.12692430807822305,0.05354963376482852
ElasticNet,total_score,0.09567531839526122,153.06488337151563,187.18214192431154,0.12806240748760395,0.04877972683626826
XGBoost,total_score,-0.27467215061187744,177.5692138671875,222.2293736913507,0.024178338050842286,0.10557023284815445
Ridge,environment_score,-0.1577750032642935,114.8441770019341,145.86271156235082,0.0859878354018357,0.07853767700536529
Lasso,environment_score,0.17878645279761662,105.32355585615637,122.84578247614581,0.1445988411617408,0.045801155934436365
ElasticNet,environment_score,0.14871995200014032,106.13259716274607,125.07439928646004,0.15142200270603154,0.06454610186972083
XGBoost,environment_score,-0.0603407621383667,113.63247680664062,139.59019961345783,0.04131635427474976,0.09749885005174712
Ridge,social_score,-0.09158546999838268,41.12900152600741,53.46348429412305,0.01775962644232958,0.019287529561456948
Lasso,social_score,0.017948377125290182,38.390632999149965,50.71022583974349,0.08942804013501619,0.050389642326477566
ElasticNet,social_score,0.02705832225136917,37.8442971624138,50.47447258831979,0.10105711769232699,0.03844622946262527
XGBoost,social_score,-0.18465960025787354,42.93598175048828,55.69615138675989,-0.00621415376663208,0.07994996440961753
Ridge,governance_score,-0.22192431367504573,36.67611072428829,44.01177874294293,-0.03921780876848076,0.05610877868772866
Lasso,governance_score,-0.019002120076542672,35.56840326668544,40.191508942995824,-0.010936655276276986,0.011722053604439689
ElasticNet,governance_score,-0.02896857450767354,35.65218233199729,40.38757926953996,-0.0064358741459604515,0.009641764245874877
XGBoost,governance_score,-0.31015801429748535,37.187164306640625,45.57310297580965,-0.08417104482650757,0.09716052213976167
