ticker,business_word_count,business_sentence_count_full,business_avg_sentence_length,business_fk_grade,business_quant_density,risk_factors_word_count,risk_factors_sentence_count_full,risk_factors_avg_sentence_length,risk_factors_fk_grade,risk_factors_quant_density,mda_word_count,mda_sentence_count_full,mda_avg_sentence_length,mda_fk_grade,mda_quant_density,business_is_long,risk_factors_is_long,mda_is_long,mda_is_quantitative,total_word_count,mean_fk_grade
MET,17531,490,251.24693877551022,17.508066852489957,12.606240374194284,10835,251,295.80876494023903,18.726065832889947,1.1998154130133825,43360,993,304.53675730110774,17.592273398659312,73.52398523985241,1,0,1,1,71726,17.942135361346406
META,3596,100,237.82,16.74426837173198,14.18242491657397,25923,505,335.2039603960396,25.779404627624505,4.629093854877908,10153,233,289.7424892703863,16.850837165171836,76.0366394169211,0,1,1,1,39672,19.791503388176107
MGM,1877,47,255.2127659574468,14.706491397037773,49.547149706979226,23423,533,291.66041275797375,19.65245657761692,13.40562694787175,37933,858,292.467365967366,19.55056469298246,39.095246882661534,0,1,1,0,63233,17.969837555879053
MHK,5449,171,227.1812865497076,16.406903874403234,14.498073040924941,6007,122,343.1639344262295,19.102410059960025,8.157149991676377,6546,166,269.7409638554217,13.953664985994397,77.75740910479682,0,0,0,1,18002,16.48765964011922
MKC,3550,100,243.53,17.442290522556522,16.056338028169016,8925,209,287.9138755980861,19.465454542396866,8.179271708683473,18229,490,245.07755102040815,11.195102892276807,86.01678643919031,0,0,1,1,30704,16.034282652410067
MKTX,6557,202,222.66831683168317,16.400609189647742,29.434192466066797,64669,1444,345.26108033240996,13.105286792779612,115.89787997340302,8581,283,200.41342756183747,13.141442958781973,75.98182030066427,0,1,0,1,79807,14.215779647069775
MMC,7967,284,199.7112676056338,17.820339957529047,14.685578009288314,13563,324,281.86728395061726,20.34614658046087,5.4560200545602004,9263,240,258.7916666666667,13.420619086239526,84.7457627118644,1,1,0,1,30793,17.195701874743147
MNST,8980,211,295.33175355450237,17.918518171094274,20.824053452115812,12376,263,318.8174904942966,18.92260971055089,9.04977375565611,12149,198,426.5050505050505,13.09395405140885,74.65635031689851,1,0,1,1,33505,16.645027311018005
MO,1505,46,223.6086956521739,13.912730175027676,34.5514950166113,10271,207,335.0193236714976,19.446416117736792,17.622432090351477,35147,684,349.67543859649123,18.04054380533444,43.076222721711666,0,0,1,0,46923,17.133230032699633
MPC,770,10,590.0,42.61796536796537,6.493506493506494,21323,603,240.5787728026534,16.661662364042183,20.16601791492754,34333,913,256.93318729463306,16.69459693321325,51.757784056155884,0,1,1,0,56426,25.3247415550736
